ENSG00000084734|GCKR
ENSG00000277856|AC233755.2
ENSG00000130208|APOC1
ENSG00000113749|HRH2
ENSG00000221843|C2orf16
ENSG00000118785|SPP1
ENSG00000134668|SPOCD1
ENSG00000128322|IGLL1
ENSG00000142583|SLC2A5
ENSG00000041982|TNC
ENSG00000275063|AC233755.1
ENSG00000029559|IBSP
ENSG00000167618|LAIR2
ENSG00000165694|FRMD7
ENSG00000185924|RTN4RL1
ENSG00000111012|CYP27B1
ENSG00000102575|ACP5
ENSG00000100985|MMP9
ENSG00000133805|AMPD3
ENSG00000182853|VMO1
ENSG00000171388|APLN
ENSG00000167941|SOST
ENSG00000163735|CXCL5
ENSG00000166920|C15orf48
ENSG00000277761|AC136616.2
ENSG00000137869|CYP19A1
ENSG00000162511|LAPTM5
ENSG00000113805|CNTN3
ENSG00000099953|MMP11
ENSG00000075673|ATP12A
ENSG00000180287|PLD5
ENSG00000174576|NPAS4
ENSG00000137766|UNC13C
