ENSG00000124731|TREM1
ENSG00000084734|GCKR
ENSG00000197632|SERPINB2
ENSG00000081248|CACNA1S
ENSG00000168481|LGI3
ENSG00000167771|RCOR2
ENSG00000259680|AC136428.1
ENSG00000277856|AC233755.2
ENSG00000111537|IFNG
ENSG00000163739|CXCL1
ENSG00000184956|MUC6
ENSG00000186818|LILRB4
ENSG00000130208|APOC1
ENSG00000101349|PAK5
ENSG00000170579|DLGAP1
ENSG00000068615|REEP1
ENSG00000151790|TDO2
ENSG00000113749|HRH2
ENSG00000163833|FBXO40
ENSG00000125740|FOSB
ENSG00000185633|NDUFA4L2
ENSG00000164161|HHIP
ENSG00000164509|IL31RA
ENSG00000100628|ASB2
ENSG00000176697|BDNF
ENSG00000221843|C2orf16
ENSG00000119630|PGF
ENSG00000118785|SPP1
ENSG00000144057|ST6GAL2
ENSG00000116254|CHD5
ENSG00000170476|MZB1
ENSG00000004468|CD38
ENSG00000132938|MTUS2
ENSG00000188042|ARL4C
ENSG00000134668|SPOCD1
ENSG00000159251|ACTC1
ENSG00000203685|STUM
ENSG00000132465|JCHAIN
ENSG00000128322|IGLL1
ENSG00000254709|IGLL5
ENSG00000154645|CHODL
ENSG00000142583|SLC2A5
ENSG00000182379|NXPH4
ENSG00000041982|TNC
ENSG00000275063|AC233755.1
ENSG00000186652|PRG2
ENSG00000144619|CNTN4
ENSG00000029559|IBSP
ENSG00000162772|ATF3
ENSG00000197361|FBXL22
ENSG00000049540|ELN
ENSG00000124875|CXCL6
ENSG00000095970|TREM2
ENSG00000165694|FRMD7
ENSG00000185924|RTN4RL1
ENSG00000181195|PENK
ENSG00000111012|CYP27B1
ENSG00000147889|CDKN2A
ENSG00000170345|FOS
ENSG00000130700|GATA5
ENSG00000150337|FCGR1A
ENSG00000060718|COL11A1
ENSG00000102575|ACP5
ENSG00000216490|IFI30
ENSG00000038945|MSR1
ENSG00000277836|AC141272.1
ENSG00000107165|TYRP1
ENSG00000137309|HMGA1
ENSG00000100985|MMP9
ENSG00000103888|CEMIP
ENSG00000133805|AMPD3
ENSG00000042980|ADAM28
ENSG00000018280|SLC11A1
ENSG00000158714|SLAMF8
ENSG00000133048|CHI3L1
ENSG00000151651|ADAM8
ENSG00000203747|FCGR3A
ENSG00000175920|DOK7
ENSG00000182853|VMO1
ENSG00000215218|UBE2QL1
ENSG00000181656|GPR88
ENSG00000160255|ITGB2
ENSG00000165238|WNK2
ENSG00000066382|MPPED2
ENSG00000104044|OCA2
ENSG00000171388|APLN
ENSG00000140678|ITGAX
ENSG00000108825|PTGES3L-AARSD1
ENSG00000167941|SOST
ENSG00000170909|OSCAR
ENSG00000163735|CXCL5
ENSG00000166920|C15orf48
ENSG00000277761|AC136616.2
ENSG00000137869|CYP19A1
ENSG00000162511|LAPTM5
ENSG00000277531|PNMA8C
ENSG00000163814|CDCP1
ENSG00000249992|TMEM158
ENSG00000099958|DERL3
ENSG00000132693|CRP
ENSG00000113805|CNTN3
ENSG00000095713|CRTAC1
ENSG00000047457|CP
ENSG00000099953|MMP11
ENSG00000139572|GPR84
ENSG00000012779|ALOX5
ENSG00000075673|ATP12A
ENSG00000180287|PLD5
ENSG00000174576|NPAS4
ENSG00000137766|UNC13C
