gene_id,LASSO,random_forest,rfe
ENSG00000186092,12373.0,12373.0,1.0
ENSG00000284733,4139.4,4295.2,2.0
ENSG00000284662,4138.4,4294.2,3.0
ENSG00000187634,4137.4,4293.2,5.0
ENSG00000187961,4136.4,4292.2,6.0
ENSG00000187583,4135.4,3492.0,7.0
ENSG00000188290,4134.4,4290.4,8.6
ENSG00000188157,4133.4,4289.4,9.8
ENSG00000237330,4132.4,4288.4,10.8
ENSG00000162571,4131.4,4287.4,11.8
ENSG00000186891,4129.4,3446.4,12.8
ENSG00000186827,4119.4,4279.2,13.8
ENSG00000078808,4128.4,3457.8,15.0
ENSG00000176022,4127.4,4281.8,16.0
ENSG00000184163,4126.4,4282.8,17.0
ENSG00000169962,4125.4,4281.8,18.0
ENSG00000169972,4124.4,3520.4,19.0
ENSG00000224051,4123.4,3443.2,20.2
ENSG00000162576,4122.4,4279.2,21.2
ENSG00000169885,4121.4,4278.2,22.2
ENSG00000187730,4120.4,4277.2,23.2
ENSG00000142609,4140.4,4280.4,24.4
ENSG00000067606,4130.4,4292.4,25.4
ENSG00000162585,4141.4,4297.2,26.6
ENSG00000235098,4154.4,4298.2,27.6
ENSG00000205116,4163.4,4302.8,28.6
ENSG00000215915,4162.4,4314.2,29.6
ENSG00000205090,4161.4,4317.2,31.0
ENSG00000160075,4160.4,3475.6,32.2
ENSG00000228594,4159.4,4315.4,33.2
ENSG00000197530,3329.6,4314.4,34.2
ENSG00000189409,4157.6,4313.4,35.2
ENSG00000189339,4156.6,4312.4,36.2
ENSG00000008128,4155.6,4311.4,37.2
ENSG00000008130,4153.8,4310.4,38.2
ENSG00000149527,4145.4,4309.4,39.2
ENSG00000197921,4150.6,4308.4,40.4
ENSG00000157881,4151.6,4307.4,41.4
ENSG00000116151,4150.6,4306.4,42.4
ENSG00000157916,4149.6,4305.4,43.4
ENSG00000157911,4148.6,4304.4,44.4
ENSG00000215912,4147.6,4303.4,45.4
ENSG00000162591,4146.6,4302.4,46.6
ENSG00000196581,4145.6,4301.4,47.6
ENSG00000116213,4144.6,4297.8,48.6
ENSG00000078900,4142.8,4289.4,49.6
ENSG00000235169,4123.2,4278.8,50.8
ENSG00000116198,4117.6,4273.2,52.0
ENSG00000169598,4116.6,4260.8,53.0
ENSG00000198912,4096.4,4257.0,54.0
ENSG00000131697,4090.6,4246.6,55.0
ENSG00000069812,4089.6,4245.6,56.0
ENSG00000158292,4088.6,4244.6,57.0
ENSG00000097021,4087.6,4243.6,58.0
ENSG00000116254,4086.6,4242.6,59.0
ENSG00000158286,4085.6,4241.6,60.0
ENSG00000116237,4084.6,4240.6,61.0
ENSG00000171680,4083.6,4239.4,62.0
ENSG00000162408,4082.6,4236.2,63.0
ENSG00000173662,4081.6,4233.2,64.0
ENSG00000204859,4080.6,4232.6,65.0
ENSG00000041988,4079.6,4235.6,66.0
ENSG00000007923,4078.6,3471.2,67.2
ENSG00000049246,4077.6,4233.8,68.4
ENSG00000171735,4076.6,4232.8,69.4
ENSG00000116288,4075.6,4231.8,70.4
ENSG00000142583,3263.4,3394.0,72.0
ENSG00000180758,4073.8,3423.0,73.0
ENSG00000049239,4072.8,3423.2,74.2
ENSG00000162426,4071.8,4235.0,75.2
ENSG00000142599,4084.0,4238.8,76.2
ENSG00000171621,4093.0,4245.4,77.4
ENSG00000162441,4094.0,4254.0,78.4
ENSG00000173614,4101.6,4260.6,79.4
ENSG00000171608,4111.8,4264.8,80.4
