baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,gene_name,LASSO,random_forest,rfe
442.948486834789,-0.0561707606399027,0.0514937971177112,0.250064476048957,0.329779760211152,ENSG00000144504,ANKMY1,11678.8,10708.8,7551.6
188.269216841561,-0.0917382307837926,0.077217246305054,0.181243743905736,0.251661745467226,ENSG00000135763,URB2,3639.4,3913.0,1336.4
5705.05144925204,-0.0741421306237991,0.0450867495933734,0.086591172767601,0.133660333644642,ENSG00000163468,CCT3,3724.8,5221.8,948.8
1092.81454649816,-0.259099870885324,0.0572567594671787,1.13603877832244e-06,5.20286914830979e-06,ENSG00000102547,CAB39L,5767.4,6107.8,3790.0
1.27768947929178,0.191625070465507,0.324831012089683,0.217028081426056,0.292789888578834,ENSG00000173826,KCNH6,2700.2,3207.4,6382.2
3045.44368225192,-0.14039494900139,0.0524019205985648,0.0044802796816427,0.0096645173599005,ENSG00000103966,EHD4,1693.0,2051.6,4520.0
0.442281220085831,0.164526838991276,0.390581613819093,0.303167626853442,0.386735167054614,ENSG00000225940,C5orf67,12169.0,10238.4,10182.0
924.912352735605,0.0113775818293473,0.0438347573620387,0.78748019018743,0.835624736077215,ENSG00000166439,RNF169,6783.6,6971.4,2569.0
1024.01010792325,-0.146506002447019,0.054733937035736,0.0043011056197145,0.0093132641170019,ENSG00000146085,MMUT,7911.6,8665.6,11948.2
1942.44549836881,0.0900833826193819,0.0628240091868844,0.120408073125419,0.177646145963011,ENSG00000092820,EZR,8488.0,8413.2,8505.8
213.330700979027,-0.0269359391947296,0.0516935791313438,0.582790243064874,0.659450579872768,ENSG00000100478,AP4S1,1277.6,3839.6,4037.4
739.965025689746,-0.162441460277591,0.042094361489595,5.91250632535403e-05,0.0001947214804523,ENSG00000106524,ANKMY2,8178.0,8504.6,10188.4
595.87017028348,0.0148988348069984,0.0369997372701911,0.679085767295453,0.743377350948291,ENSG00000107643,MAPK8,4271.6,4516.6,1578.8
223.041181004026,0.568927526985357,0.142505970731235,3.89505594329605e-06,1.62047900781959e-05,ENSG00000179348,GATA2,13035.8,11113.8,10729.4
1120.20248557624,-0.0573070285885885,0.0367112493061195,0.108740570431421,0.162561850050441,ENSG00000157800,SLC37A3,7017.4,7341.0,10394.0
1050.95820058359,0.101632974113224,0.104253941527107,0.233186873721574,0.310745823349159,ENSG00000150471,ADGRL3,13472.8,12301.0,10714.2
1334.59756644076,0.0044707990270361,0.0656281598827395,0.940917296588284,0.955848198322221,ENSG00000140939,AC074143.1,755.0,2646.6,5406.6
366.174350283182,-0.0444179158160564,0.0522525149212048,0.36948073220649,0.455858882574992,ENSG00000142409,ZNF787,2347.2,11417.2,7974.6
980.245541189919,-0.0317890144955449,0.0389696522331065,0.400525688715125,0.487960311239574,ENSG00000047579,DTNBP1,8009.4,8299.2,10341.4
